Date,Open,High,Low,Close,Adj Close,Volume
3998,0.128348,0.128906,0.128348,0.128348,0.099058,469033600
4001,0.12221,0.12221,0.121652,0.121652,0.09389,175884800
4002,0.113281,0.113281,0.112723,0.112723,0.086999,105728000
4003,0.115513,0.116071,0.115513,0.115513,0.089152,86441600
4004,0.118862,0.11942,0.118862,0.118862,0.091737,73449600
4005,0.126116,0.126674,0.126116,0.126116,0.097335,48630400
4008,0.132254,0.132813,0.132254,0.132254,0.102072,37363200
4009,0.137835,0.138393,0.137835,0.137835,0.10638,46950400
4010,0.145089,0.145647,0.145089,0.145089,0.111978,48003200
4012,0.158482,0.15904,0.158482,0.158482,0.122315,55574400
4015,0.160714,0.161272,0.160714,0.160714,0.124038,93161600
4016,0.157366,0.157366,0.156808,0.156808,0.121023,68880000
4017,0.152902,0.152902,0.152344,0.152344,0.117578,35750400
4019,0.154018,0.155134,0.154018,0.154018,0.11887,21660800
4022,0.151228,0.151228,0.15067,0.15067,0.116286,35728000
4023,0.144531,0.144531,0.143973,0.143973,0.111117,45158400
4024,0.138393,0.138393,0.137835,0.137835,0.10638,55686400
4025,0.135603,0.135603,0.135045,0.135045,0.104226,39827200
4026,0.142299,0.142857,0.142299,0.142299,0.109825,21504000
4029,0.142299,0.142299,0.141183,0.141183,0.108964,23699200
4030,0.136719,0.136719,0.136161,0.136161,0.105088,23049600
4031,0.136719,0.137277,0.136719,0.136719,0.105518,14291200
4032,0.139509,0.140625,0.139509,0.139509,0.107672,14067200
4033,0.138951,0.138951,0.138393,0.138393,0.10681,13395200
4036,0.146763,0.147321,0.146763,0.146763,0.11327,41574400
4037,0.142857,0.142857,0.142299,0.142299,0.109825,30083200
4038,0.145089,0.146205,0.145089,0.145089,0.111978,15904000
4039,0.146763,0.147879,0.146763,0.146763,0.11327,35548800
4040,0.146763,0.147321,0.146205,0.146205,0.11284,11222400
4043,0.144531,0.144531,0.143973,0.143973,0.111117,24640000
4044,0.143973,0.143973,0.142857,0.142857,0.110256,23699200
4045,0.138951,0.138951,0.138393,0.138393,0.10681,28156800
4046,0.133929,0.133929,0.133371,0.133371,0.102934,43904000
4047,0.127232,0.127232,0.126116,0.126116,0.097335,46188800
4050,0.11942,0.11942,0.118862,0.118862,0.091737,23766400
4051,0.123326,0.123884,0.123326,0.123326,0.095182,19152000
4052,0.12779,0.128348,0.12779,0.12779,0.098627,27865600
4053,0.12779,0.128906,0.12779,0.12779,0.098627,7929600
4054,0.128348,0.128906,0.128348,0.128348,0.099058,13865600
4057,0.122768,0.122768,0.121652,0.121652,0.09389,16755200
4058,0.121652,0.12221,0.121652,0.121652,0.09389,18345600
4059,0.118304,0.118304,0.117746,0.117746,0.090875,13843200
4060,0.117188,0.117188,0.116629,0.116629,0.090013,14560000
4061,0.114955,0.114955,0.113839,0.113839,0.08786,11155200
4065,0.116629,0.117188,0.116629,0.116629,0.090013,12275200
4066,0.121652,0.122768,0.121652,0.121652,0.09389,19241600
4067,0.114955,0.114955,0.114397,0.114397,0.088291,22310400
4068,0.108817,0.108817,0.108259,0.108259,0.083553,24371200
4071,0.109933,0.110491,0.109933,0.109933,0.084845,14112000
4072,0.107143,0.107143,0.106027,0.106027,0.081831,16979200
4073,0.112723,0.113281,0.112723,0.112723,0.086999,19488000
4074,0.114397,0.114955,0.114397,0.114397,0.088291,10841600
4075,0.118304,0.11942,0.118304,0.118304,0.091306,14761600
4078,0.118862,0.11942,0.118862,0.118862,0.091737,11760000
4079,0.117746,0.117746,0.117188,0.117188,0.090445,16172800
4080,0.116629,0.116629,0.116071,0.116071,0.089582,13708800
4081,0.116071,0.116071,0.115513,0.115513,0.089152,5376000
4082,0.115513,0.115513,0.114397,0.114397,0.088291,11603200
4085,0.106027,0.106027,0.105469,0.105469,0.0814,15321600
4086,0.101004,0.101004,0.100446,0.100446,0.077523,28380800
4087,0.097656,0.097656,0.09654,0.09654,0.074509,29859200
4088,0.100446,0.101004,0.100446,0.100446,0.077523,59248000
4089,0.099888,0.099888,0.09933,0.09933,0.076662,231302400
4092,0.103237,0.104353,0.103237,0.103237,0.079677,37228800
4093,0.108259,0.109375,0.108259,0.108259,0.083553,43747200
4094,0.114955,0.116071,0.114955,0.114955,0.088721,36937600
4095,0.114397,0.114397,0.113839,0.113839,0.08786,37811200
4096,0.114955,0.116071,0.114955,0.114955,0.088721,14604800
4099,0.11942,0.120536,0.11942,0.11942,0.092167,22019200
4100,0.11942,0.11942,0.118862,0.118862,0.091737,28156800
4101,0.117746,0.117746,0.116629,0.116629,0.090013,7056000
4102,0.114955,0.114955,0.114397,0.114397,0.088291,12275200
4103,0.111049,0.111049,0.110491,0.110491,0.085276,12252800
4106,0.110491,0.111607,0.110491,0.110491,0.085276,9900800
4107,0.110491,0.110491,0.109375,0.109375,0.084415,15993600
4108,0.108817,0.108817,0.108259,0.108259,0.083553,34070400
4109,0.117746,0.118304,0.117746,0.117746,0.090875,31404800
4110,0.118304,0.118862,0.118304,0.118304,0.091306,16486400
4113,0.116629,0.116629,0.116071,0.116071,0.089582,22803200
4114,0.115513,0.115513,0.114955,0.114955,0.088721,10684800
4115,0.120536,0.121652,0.120536,0.120536,0.093028,21952000
4116,0.122768,0.123326,0.122768,0.122768,0.094751,12499200
4117,0.124442,0.125,0.124442,0.124442,0.096043,33465600
4120,0.124442,0.125,0.124442,0.124442,0.096043,16060800
4121,0.124442,0.125,0.124442,0.124442,0.096043,6652800
4122,0.118862,0.118862,0.118304,0.118304,0.091306,34048000
4123,0.112165,0.112165,0.111607,0.111607,0.086137,23878400
4127,0.114955,0.115513,0.114955,0.114955,0.088721,35347200
4128,0.122768,0.123326,0.122768,0.122768,0.094751,28537600
4129,0.127232,0.12779,0.127232,0.127232,0.098196,18995200
4130,0.13058,0.131138,0.13058,0.13058,0.10078,58016000
4131,0.13058,0.13058,0.129464,0.129464,0.099919,35056000
4134,0.128906,0.128906,0.128348,0.128348,0.099058,38528000
4135,0.126674,0.126674,0.126116,0.126116,0.097335,32188800
4136,0.125,0.125,0.124442,0.124442,0.096043,13641600
4137,0.126674,0.12779,0.126674,0.126674,0.097766,12611200
4138,0.126674,0.12779,0.126674,0.126674,0.097766,16553600
4141,0.126674,0.126674,0.126116,0.126116,0.097335,14448000
4142,0.126116,0.126116,0.125558,0.125558,0.096904,17539200
4143,0.122768,0.122768,0.12221,0.12221,0.094321,18950400
4144,0.123884,0.124442,0.123884,0.123884,0.095612,9363200
4145,0.125,0.125558,0.125,0.125,0.096474,7907200
4148,0.122768,0.122768,0.12221,0.12221,0.094321,11939200
4149,0.12221,0.123884,0.12221,0.12221,0.094321,4256000
4150,0.12221,0.123326,0.121652,0.121652,0.09389,4905600
4151,0.121094,0.121094,0.119978,0.119978,0.092598,4928000
4152,0.122768,0.124442,0.122768,0.122768,0.094751,4905600
4155,0.125,0.126116,0.125,0.125,0.096474,4166400
4156,0.123326,0.123326,0.122768,0.122768,0.094751,25424000
4157,0.126674,0.12779,0.126674,0.126674,0.097766,13283200
4158,0.133929,0.134487,0.133929,0.133929,0.103365,32211200
4159,0.140067,0.141183,0.140067,0.140067,0.108102,31427200
4163,0.140067,0.140067,0.139509,0.139509,0.107672,85344000
4164,0.147321,0.147879,0.147321,0.147321,0.113701,149497600
4165,0.147321,0.147879,0.147321,0.147321,0.113701,73987200
4166,0.147879,0.148438,0.147879,0.147879,0.114132,59382400
4169,0.147879,0.148438,0.147879,0.147879,0.114132,51251200
4170,0.141183,0.141183,0.140625,0.140625,0.108533,40432000
4171,0.140625,0.141741,0.140625,0.140625,0.108533,39446400
4172,0.143415,0.143973,0.143415,0.143415,0.110686,56067200
4173,0.141741,0.141741,0.141183,0.141183,0.108964,57680000
4176,0.136719,0.136719,0.136161,0.136161,0.105088,93497600
4177,0.138951,0.139509,0.138951,0.138951,0.107241,119593600
4178,0.140625,0.142299,0.140625,0.140625,0.108533,25222400
4179,0.146763,0.147321,0.146763,0.146763,0.11327,38976000
4180,0.145647,0.145647,0.145089,0.145089,0.111978,25804800
4183,0.145089,0.145089,0.144531,0.144531,0.111548,143763200
4184,0.142299,0.142299,0.141741,0.141741,0.109394,37251200
4185,0.140067,0.140067,0.139509,0.139509,0.107672,27574400
4186,0.139509,0.140067,0.138951,0.138951,0.107241,23049600
4187,0.135603,0.135603,0.135045,0.135045,0.104226,27507200
4190,0.13058,0.13058,0.130022,0.130022,0.10035,10841600
4191,0.132254,0.133371,0.132254,0.132254,0.102072,15030400
4192,0.130022,0.130022,0.128906,0.128906,0.099488,23027200
4193,0.131696,0.132254,0.131696,0.131696,0.101642,24259200
4194,0.131138,0.131138,0.130022,0.130022,0.10035,23788800
4197,0.126674,0.126674,0.125558,0.125558,0.096904,10595200
4198,0.116629,0.116629,0.116071,0.116071,0.089582,35907200
4199,0.115513,0.115513,0.114955,0.114955,0.088721,170464000
4200,0.114955,0.115513,0.114955,0.114955,0.088721,30284800
4204,0.112165,0.112165,0.111049,0.111049,0.085707,16531200
4205,0.112165,0.113281,0.112165,0.112165,0.086568,15836800
4206,0.116629,0.117188,0.116629,0.116629,0.090013,16620800
4207,0.108259,0.108259,0.107701,0.107701,0.083123,32883200
4208,0.099888,0.099888,0.09933,0.09933,0.076662,55171200
4211,0.101563,0.102121,0.101563,0.101563,0.078385,45740800
4212,0.106027,0.107143,0.106027,0.106027,0.081831,19779200
4213,0.108817,0.109375,0.108817,0.108817,0.083984,10953600
4214,0.111607,0.112723,0.111607,0.111607,0.086137,15232000
4215,0.115513,0.116071,0.115513,0.115513,0.089152,19824000
4218,0.108259,0.108259,0.107701,0.107701,0.083123,23654400
4219,0.107701,0.107701,0.107143,0.107143,0.082692,31942400
4220,0.102121,0.102121,0.101004,0.101004,0.077954,22668800
4221,0.103795,0.104353,0.103795,0.103795,0.080108,34451200
4222,0.107143,0.107701,0.107143,0.107143,0.082692,28851200
4225,0.111607,0.112165,0.111607,0.111607,0.086137,17337600
4226,0.108259,0.108259,0.107701,0.107701,0.083123,22848000
4227,0.106585,0.106585,0.106027,0.106027,0.081831,15500800
4228,0.109933,0.111049,0.109933,0.109933,0.084845,9900800
4229,0.111607,0.112165,0.111607,0.111607,0.086137,10953600
4232,0.111607,0.111607,0.110491,0.110491,0.085276,12432000
4233,0.112165,0.112723,0.112165,0.112165,0.086568,31673600
4234,0.115513,0.116071,0.115513,0.115513,0.089152,17494400
4235,0.113281,0.113281,0.112723,0.112723,0.086999,10528000
4236,0.112723,0.113281,0.112723,0.112723,0.086999,9206400
4239,0.112723,0.112723,0.112723,0.112723,0.086999,0
4240,0.110491,0.110491,0.109375,0.109375,0.084415,71456000
4241,0.107701,0.107701,0.107143,0.107143,0.082692,26275200
4242,0.104353,0.104353,0.103795,0.103795,0.080108,27484800
4243,0.103237,0.103237,0.102121,0.102121,0.078816,24192000
4246,0.099888,0.099888,0.098772,0.098772,0.076231,18905600
4247,0.097656,0.097656,0.09654,0.09654,0.074509,17001600
4248,0.09654,0.09654,0.095424,0.095424,0.073647,20675200
4249,0.09654,0.097098,0.09654,0.09654,0.074509,17113600
4250,0.09096,0.09096,0.089844,0.089844,0.069341,41910400
4253,0.084821,0.084821,0.084263,0.084263,0.065033,23072000
4254,0.086496,0.087054,0.086496,0.086496,0.066757,40700800
4255,0.085379,0.085379,0.084821,0.084821,0.065464,33600000
4256,0.085379,0.085938,0.085379,0.085379,0.065895,25916800
4257,0.089844,0.090402,0.089844,0.089844,0.069341,38035200
4260,0.089844,0.090402,0.089844,0.089844,0.069341,40947200
